filename,dist_2opt,time_2opt_ms,dist_3opt,time_3opt_ms 
tsp_100_1,23211.724225,31,21807.814988,6545
tsp_100_2,24879.912606,26,23014.979152,10194
tsp_100_3,25533.285498,26,21518.145400,7113
tsp_100_4,25818.830393,33,21478.609570,10562
tsp_100_5,25430.652742,27,22328.179346,11696
tsp_100_6,9634.540063,25,8215.686065,7537
tsp_101_1,701.570266,26,668.125235,23702
tsp_105_1,15762.598424,30,15284.289100,5958
tsp_107_1,46605.745335,25,44893.524482,23247
tsp_124_1,62067.895185,39,59940.859061,7257
tsp_127_1,128878.799850,52,120390.866440,42135
tsp_136_1,103384.552027,65,98469.496522,48669
tsp_144_1,62344.382106,103,59379.365609,64796
tsp_150_1,32199.125996,88,27128.470230,111488
tsp_150_2,29078.801364,88,26867.382862,67250
tsp_152_1,75437.133013,73,73821.250033,44505
tsp_159_1,42975.849211,41,42391.842847,29762
tsp_195_1,2483.328227,270,2401.234119,324918
tsp_198_1,16654.942100,202,15985.047307,365372
tsp_200_1,32474.079156,250,30575.722824,233727
tsp_200_2,31913.526709,341,30729.049874,367281
tsp_225_1,131253.091417,237,130194.072511,321965
tsp_226_1,87042.824827,242,83955.831149,820558
tsp_262_1,2867.214831,560,2515.743464,1712914
