filename,dist_2opt,time_2opt_ms,dist_3opt,time_3opt_ms 
tsp_100_1,23211.724225,29,21807.814988,6200
tsp_100_2,24879.912606,25,23014.979152,8959
tsp_100_3,25533.285498,24,21518.145400,6443
tsp_100_4,25818.830393,29,21478.609570,9042
tsp_100_5,25430.652742,24,22328.179346,10568
tsp_100_6,9634.540063,25,8215.686065,7018
tsp_101_1,701.570266,25,668.125235,22845
tsp_105_1,15762.598424,28,15284.289100,5589
tsp_107_1,46605.745335,23,44893.524482,22503
tsp_124_1,62067.895185,37,59940.859061,6711
tsp_127_1,128878.799850,49,120390.866440,40972
tsp_136_1,103384.552027,60,98469.496522,50330
tsp_144_1,62344.382106,88,59379.365609,43339
tsp_150_1,32199.125996,82,27128.470230,73945
tsp_150_2,29078.801364,82,26867.382862,57832
tsp_152_1,75437.133013,75,73821.250033,43992
tsp_159_1,42975.849211,40,42391.842847,29124
tsp_195_1,2483.328227,256,2401.234119,392787
tsp_198_1,16654.942100,189,15985.047307,368410
tsp_200_1,32474.079156,236,30575.722824,224095
